!SOT
40105a!add esi, dword ptr [ebp-0x8]!RM_12ff4c_4_deadbee4!RR_ebp_12ff54_esi_2671700!WR_esi_e114d5e4
40105d!mov edi, ecx!RR_ecx_4ce2e000!WR_edi_4ce2e000
40105f!shl edi, 0x4!RR_edi_4ce2e000!WR_edi_ce2e0000
401062!add edi, dword ptr [ebp-0xc]!RM_12ff48_4_deadbee3!RR_ebp_12ff54_edi_ce2e0000!WR_edi_acdbbee3
401065!xor esi, edi!RR_esi_e114d5e4_edi_acdbbee3!WR_esi_4dcf6b07
401067!lea edi, ptr [edx+ecx*1]!RR_ecx_4ce2e000_edx_8a8043ae!WR_edi_d76323ae
40106a!xor esi, edi!RR_esi_4dcf6b07_edi_d76323ae!WR_esi_9aac48a9
40106c!sub eax, esi!RR_eax_2c516698_esi_9aac48a9!WR_eax_91a51def
40106e!mov esi, eax!RR_eax_91a51def!WR_esi_91a51def
401070!shr esi, 0x5!RR_esi_91a51def!WR_esi_48d28ef
401073!add esi, dword ptr [ebp-0x10]!RM_12ff44_4_deadbee2!RR_ebp_12ff54_esi_48d28ef!WR_esi_e33ae7d1
401076!mov edi, eax!RR_eax_91a51def!WR_edi_91a51def
401078!shl edi, 0x4!RR_edi_91a51def!WR_edi_1a51def0
40107b!add edi, dword ptr [ebp-0x14]!RM_12ff40_4_deadbee1!RR_ebp_12ff54_edi_1a51def0!WR_edi_f8ff9dd1
40107e!xor esi, edi!RR_esi_e33ae7d1_edi_f8ff9dd1!WR_esi_1bc57a00
401080!lea edi, ptr [edx+eax*1]!RR_eax_91a51def_edx_8a8043ae!WR_edi_1c25619d
401083!xor esi, edi!RR_esi_1bc57a00_edi_1c25619d!WR_esi_7e01b9d
401085!sub ecx, esi!RR_ecx_4ce2e000_esi_7e01b9d!WR_ecx_4502c463
401087!add edx, 0x61c88647!RR_edx_8a8043ae!WR_edx_ec48c9f5
40108d!dec dword ptr [ebp-0x4]!RM_12ff50_4_1e!RR_ebp_12ff54!WM_12ff50_4_1d
401090!jnz 0x401055
401055!mov esi, ecx!RR_ecx_4502c463!WR_esi_4502c463
401057!shr esi, 0x5!RR_esi_4502c463!WR_esi_2281623
40105a!add esi, dword ptr [ebp-0x8]!RM_12ff4c_4_deadbee4!RR_ebp_12ff54_esi_2281623!WR_esi_e0d5d507
40105d!mov edi, ecx!RR_ecx_4502c463!WR_edi_4502c463
40105f!shl edi, 0x4!RR_edi_4502c463!WR_edi_502c4630
401062!add edi, dword ptr [ebp-0xc]!RM_12ff48_4_deadbee3!RR_ebp_12ff54_edi_502c4630!WR_edi_2eda0513
401065!xor esi, edi!RR_esi_e0d5d507_edi_2eda0513!WR_esi_ce0fd014
401067!lea edi, ptr [edx+ecx*1]!RR_ecx_4502c463_edx_ec48c9f5!WR_edi_314b8e58
40106a!xor esi, edi!RR_esi_ce0fd014_edi_314b8e58!WR_esi_ff445e4c
40106c!sub eax, esi!RR_eax_91a51def_esi_ff445e4c!WR_eax_9260bfa3
40106e!mov esi, eax!RR_eax_9260bfa3!WR_esi_9260bfa3
401070!shr esi, 0x5!RR_esi_9260bfa3!WR_esi_49305fd
401073!add esi, dword ptr [ebp-0x10]!RM_12ff44_4_deadbee2!RR_ebp_12ff54_esi_49305fd!WR_esi_e340c4df
401076!mov edi, eax!RR_eax_9260bfa3!WR_edi_9260bfa3
401078!shl edi, 0x4!RR_edi_9260bfa3!WR_edi_260bfa30
40107b!add edi, dword ptr [ebp-0x14]!RM_12ff40_4_deadbee1!RR_ebp_12ff54_edi_260bfa30!WR_edi_4b9b911
40107e!xor esi, edi!RR_esi_e340c4df_edi_4b9b911!WR_esi_e7f97dce
401080!lea edi, ptr [edx+eax*1]!RR_eax_9260bfa3_edx_ec48c9f5!WR_edi_7ea98998
401083!xor esi, edi!RR_esi_e7f97dce_edi_7ea98998!WR_esi_9950f456
401085!sub ecx, esi!RR_ecx_4502c463_esi_9950f456!WR_ecx_abb1d00d
401087!add edx, 0x61c88647!RR_edx_ec48c9f5!WR_edx_4e11503c
40108d!dec dword ptr [ebp-0x4]!RM_12ff50_4_1d!RR_ebp_12ff54!WM_12ff50_4_1c
401090!jnz 0x401055
401055!mov esi, ecx!RR_ecx_abb1d00d!WR_esi_abb1d00d
401057!shr esi, 0x5!RR_esi_abb1d00d!WR_esi_55d8e80
40105a!add esi, dword ptr [ebp-0x8]!RM_12ff4c_4_deadbee4!RR_ebp_12ff54_esi_55d8e80!WR_esi_e40b4d64
40105d!mov edi, ecx!RR_ecx_abb1d00d!WR_edi_abb1d00d
40105f!shl edi, 0x4!RR_edi_abb1d00d!WR_edi_bb1d00d0
401062!add edi, dword ptr [ebp-0xc]!RM_12ff48_4_deadbee3!RR_ebp_12ff54_edi_bb1d00d0!WR_edi_99cabfb3
401065!xor esi, edi!RR_esi_e40b4d64_edi_99cabfb3!WR_esi_7dc1f2d7
401067!lea edi, ptr [edx+ecx*1]!RR_ecx_abb1d00d_edx_4e11503c!WR_edi_f9c32049
40106a!xor esi, edi!RR_esi_7dc1f2d7_edi_f9c32049!WR_esi_8402d29e
40106c!sub eax, esi!RR_eax_9260bfa3_esi_8402d29e!WR_eax_e5ded05
40106e!mov esi, eax!RR_eax_e5ded05!WR_esi_e5ded05
401070!shr esi, 0x5!RR_esi_e5ded05!WR_esi_72ef68
401073!add esi, dword ptr [ebp-0x10]!RM_12ff44_4_deadbee2!RR_ebp_12ff54_esi_72ef68!WR_esi_df20ae4a
401076!mov edi, eax!RR_eax_e5ded05!WR_edi_e5ded05
401078!shl edi, 0x4!RR_edi_e5ded05!WR_edi_e5ded050
40107b!add edi, dword ptr [ebp-0x14]!RM_12ff40_4_deadbee1!RR_ebp_12ff54_edi_e5ded050!WR_edi_c48c8f31
40107e!xor esi, edi!RR_esi_df20ae4a_edi_c48c8f31!WR_esi_1bac217b
401080!lea edi, ptr [edx+eax*1]!RR_eax_e5ded05_edx_4e11503c!WR_edi_5c6f3d41
401083!xor esi, edi!RR_esi_1bac217b_edi_5c6f3d41!WR_esi_47c31c3a
401085!sub ecx, esi!RR_ecx_abb1d00d_esi_47c31c3a!WR_ecx_63eeb3d3
401087!add edx, 0x61c88647!RR_edx_4e11503c!WR_edx_afd9d683
40108d!dec dword ptr [ebp-0x4]!RM_12ff50_4_1c!RR_ebp_12ff54!WM_12ff50_4_1b
401090!jnz 0x401055
401055!mov esi, ecx!RR_ecx_63eeb3d3!WR_esi_63eeb3d3
401057!shr esi, 0x5!RR_esi_63eeb3d3!WR_esi_31f759e
40105a!add esi, dword ptr [ebp-0x8]!RM_12ff4c_4_deadbee4!RR_ebp_12ff54_esi_31f759e!WR_esi_e1cd3482
40105d!mov edi, ecx!RR_ecx_63eeb3d3!WR_edi_63eeb3d3
40105f!shl edi, 0x4!RR_edi_63eeb3d3!WR_edi_3eeb3d30
401062!add edi, dword ptr [ebp-0xc]!RM_12ff48_4_deadbee3!RR_ebp_12ff54_edi_3eeb3d30!WR_edi_1d98fc13
401065!xor esi, edi!RR_esi_e1cd3482_edi_1d98fc13!WR_esi_fc55c891
401067!lea edi, ptr [edx+ecx*1]!RR_ecx_63eeb3d3_edx_afd9d683!WR_edi_13c88a56
40106a!xor esi, edi!RR_esi_fc55c891_edi_13c88a56!WR_esi_ef9d42c7
40106c!sub eax, esi!RR_eax_e5ded05_esi_ef9d42c7!WR_eax_1ec0aa3e
40106e!mov esi, eax!RR_eax_1ec0aa3e!WR_esi_1ec0aa3e
401070!shr esi, 0x5!RR_esi_1ec0aa3e!WR_esi_f60551
401073!add esi, dword ptr [ebp-0x10]!RM_12ff44_4_deadbee2!RR_ebp_12ff54_esi_f60551!WR_esi_dfa3c433
401076!mov edi, eax!RR_eax_1ec0aa3e!WR_edi_1ec0aa3e
401078!shl edi, 0x4!RR_edi_1ec0aa3e!WR_edi_ec0aa3e0
40107b!add edi, dword ptr [ebp-0x14]!RM_12ff40_4_deadbee1!RR_ebp_12ff54_edi_ec0aa3e0!WR_edi_cab862c1
40107e!xor esi, edi!RR_esi_dfa3c433_edi_cab862c1!WR_esi_151ba6f2
401080!lea edi, ptr [edx+eax*1]!RR_eax_1ec0aa3e_edx_afd9d683!WR_edi_ce9a80c1
401083!xor esi, edi!RR_esi_151ba6f2_edi_ce9a80c1!WR_esi_db812633
401085!sub ecx, esi!RR_ecx_63eeb3d3_esi_db812633!WR_ecx_886d8da0
401087!add edx, 0x61c88647!RR_edx_afd9d683!WR_edx_11a25cca
40108d!dec dword ptr [ebp-0x4]!RM_12ff50_4_1b!RR_ebp_12ff54!WM_12ff50_4_1a
401090!jnz 0x401055
401055!mov esi, ecx!RR_ecx_886d8da0!WR_esi_886d8da0
401057!shr esi, 0x5!RR_esi_886d8da0!WR_esi_4436c6d
40105a!add esi, dword ptr [ebp-0x8]!RM_12ff4c_4_deadbee4!RR_ebp_12ff54_esi_4436c6d!WR_esi_e2f12b51
40105d!mov edi, ecx!RR_ecx_886d8da0!WR_edi_886d8da0
40105f!shl edi, 0x4!RR_edi_886d8da0!WR_edi_86d8da00
401062!add edi, dword ptr [ebp-0xc]!RM_12ff48_4_deadbee3!RR_ebp_12ff54_edi_86d8da00!WR_edi_658698e3
