!SOT
4010b0!add ecx, dword ptr [ebp-0x10]!RM_12ff44_4_c6ef3720!RR_ecx_a3651d14_ebp_12ff54!WR_ecx_6a545434
4010b3!xor eax, ecx!RR_eax_14ff9021_ecx_6a545434!WR_eax_7eabc415
4010b5!mov edx, dword ptr [ebp-0xc]!RM_12ff48_4_a3651d14!RR_ebp_12ff54!WR_edx_a3651d14
4010b8!shr edx, 0x5!RR_edx_a3651d14!WR_edx_51b28e8
4010bb!add edx, dword ptr [ebp-0x20]!RM_12ff34_4_deadbee2!RR_edx_51b28e8_ebp_12ff54!WR_edx_e3c8e7ca
4010be!xor eax, edx!RR_eax_7eabc415_edx_e3c8e7ca!WR_eax_9d6323df
4010c0!mov ecx, dword ptr [ebp-0x24]!RM_12ff30_4_1234567!RR_ebp_12ff54!WR_ecx_1234567
4010c3!sub ecx, eax!RR_eax_9d6323df_ecx_1234567!WR_ecx_63c02188
4010c5!mov dword ptr [ebp-0x24], ecx!RR_ecx_63c02188_ebp_12ff54!WM_12ff30_4_63c02188
4010c8!mov edx, dword ptr [ebp-0x10]!RM_12ff44_4_c6ef3720!RR_ebp_12ff54!WR_edx_c6ef3720
4010cb!sub edx, dword ptr [ebp-0x1c]!RM_12ff38_4_9e3779b9!RR_edx_c6ef3720_ebp_12ff54!WR_edx_28b7bd67
4010ce!mov dword ptr [ebp-0x10], edx!RR_edx_28b7bd67_ebp_12ff54!WM_12ff44_4_28b7bd67
4010d1!jmp 0x401071
401071!mov eax, dword ptr [ebp-0x4]!RM_12ff50_4_0!RR_ebp_12ff54!WR_eax_0
401074!add eax, 0x1!RR_eax_0!WR_eax_1
401077!mov dword ptr [ebp-0x4], eax!RR_eax_1_ebp_12ff54!WM_12ff50_4_1
40107a!cmp dword ptr [ebp-0x4], 0x20!RM_12ff50_4_1!RR_ebp_12ff54
40107e!jnb 0x4010d3
401080!mov ecx, dword ptr [ebp-0x24]!RM_12ff30_4_63c02188!RR_ebp_12ff54!WR_ecx_63c02188
401083!shl ecx, 0x4!RR_ecx_63c02188!WR_ecx_3c021880
401086!add ecx, dword ptr [ebp-0x18]!RM_12ff3c_4_deadbee3!RR_ecx_3c021880_ebp_12ff54!WR_ecx_1aafd763
401089!mov edx, dword ptr [ebp-0x24]!RM_12ff30_4_63c02188!RR_ebp_12ff54!WR_edx_63c02188
40108c!add edx, dword ptr [ebp-0x10]!RM_12ff44_4_28b7bd67!RR_edx_63c02188_ebp_12ff54!WR_edx_8c77deef
40108f!xor ecx, edx!RR_ecx_1aafd763_edx_8c77deef!WR_ecx_96d8098c
401091!mov eax, dword ptr [ebp-0x24]!RM_12ff30_4_63c02188!RR_ebp_12ff54!WR_eax_63c02188
401094!shr eax, 0x5!RR_eax_63c02188!WR_eax_31e010c
401097!add eax, dword ptr [ebp-0x14]!RM_12ff40_4_deadbee4!RR_eax_31e010c_ebp_12ff54!WR_eax_e1cbbff0
40109a!xor ecx, eax!RR_eax_e1cbbff0_ecx_96d8098c!WR_ecx_7713b67c
40109c!mov edx, dword ptr [ebp-0xc]!RM_12ff48_4_a3651d14!RR_ebp_12ff54!WR_edx_a3651d14
40109f!sub edx, ecx!RR_ecx_7713b67c_edx_a3651d14!WR_edx_2c516698
4010a1!mov dword ptr [ebp-0xc], edx!RR_edx_2c516698_ebp_12ff54!WM_12ff48_4_2c516698
4010a4!mov eax, dword ptr [ebp-0xc]!RM_12ff48_4_2c516698!RR_ebp_12ff54!WR_eax_2c516698
4010a7!shl eax, 0x4!RR_eax_2c516698!WR_eax_c5166980
4010aa!add eax, dword ptr [ebp-0x8]!RM_12ff4c_4_deadbee1!RR_eax_c5166980_ebp_12ff54!WR_eax_a3c42861
4010ad!mov ecx, dword ptr [ebp-0xc]!RM_12ff48_4_2c516698!RR_ebp_12ff54!WR_ecx_2c516698
4010b0!add ecx, dword ptr [ebp-0x10]!RM_12ff44_4_28b7bd67!RR_ecx_2c516698_ebp_12ff54!WR_ecx_550923ff
4010b3!xor eax, ecx!RR_eax_a3c42861_ecx_550923ff!WR_eax_f6cd0b9e
4010b5!mov edx, dword ptr [ebp-0xc]!RM_12ff48_4_2c516698!RR_ebp_12ff54!WR_edx_2c516698
4010b8!shr edx, 0x5!RR_edx_2c516698!WR_edx_1628b34
4010bb!add edx, dword ptr [ebp-0x20]!RM_12ff34_4_deadbee2!RR_edx_1628b34_ebp_12ff54!WR_edx_e0104a16
4010be!xor eax, edx!RR_eax_f6cd0b9e_edx_e0104a16!WR_eax_16dd4188
4010c0!mov ecx, dword ptr [ebp-0x24]!RM_12ff30_4_63c02188!RR_ebp_12ff54!WR_ecx_63c02188
4010c3!sub ecx, eax!RR_eax_16dd4188_ecx_63c02188!WR_ecx_4ce2e000
4010c5!mov dword ptr [ebp-0x24], ecx!RR_ecx_4ce2e000_ebp_12ff54!WM_12ff30_4_4ce2e000
4010c8!mov edx, dword ptr [ebp-0x10]!RM_12ff44_4_28b7bd67!RR_ebp_12ff54!WR_edx_28b7bd67
4010cb!sub edx, dword ptr [ebp-0x1c]!RM_12ff38_4_9e3779b9!RR_edx_28b7bd67_ebp_12ff54!WR_edx_8a8043ae
4010ce!mov dword ptr [ebp-0x10], edx!RR_edx_8a8043ae_ebp_12ff54!WM_12ff44_4_8a8043ae
4010d1!jmp 0x401071
401071!mov eax, dword ptr [ebp-0x4]!RM_12ff50_4_1!RR_ebp_12ff54!WR_eax_1
401074!add eax, 0x1!RR_eax_1!WR_eax_2
401077!mov dword ptr [ebp-0x4], eax!RR_eax_2_ebp_12ff54!WM_12ff50_4_2
40107a!cmp dword ptr [ebp-0x4], 0x20!RM_12ff50_4_2!RR_ebp_12ff54
40107e!jnb 0x4010d3
401080!mov ecx, dword ptr [ebp-0x24]!RM_12ff30_4_4ce2e000!RR_ebp_12ff54!WR_ecx_4ce2e000
401083!shl ecx, 0x4!RR_ecx_4ce2e000!WR_ecx_ce2e0000
401086!add ecx, dword ptr [ebp-0x18]!RM_12ff3c_4_deadbee3!RR_ecx_ce2e0000_ebp_12ff54!WR_ecx_acdbbee3
401089!mov edx, dword ptr [ebp-0x24]!RM_12ff30_4_4ce2e000!RR_ebp_12ff54!WR_edx_4ce2e000
40108c!add edx, dword ptr [ebp-0x10]!RM_12ff44_4_8a8043ae!RR_edx_4ce2e000_ebp_12ff54!WR_edx_d76323ae
40108f!xor ecx, edx!RR_ecx_acdbbee3_edx_d76323ae!WR_ecx_7bb89d4d
401091!mov eax, dword ptr [ebp-0x24]!RM_12ff30_4_4ce2e000!RR_ebp_12ff54!WR_eax_4ce2e000
401094!shr eax, 0x5!RR_eax_4ce2e000!WR_eax_2671700
401097!add eax, dword ptr [ebp-0x14]!RM_12ff40_4_deadbee4!RR_eax_2671700_ebp_12ff54!WR_eax_e114d5e4
40109a!xor ecx, eax!RR_eax_e114d5e4_ecx_7bb89d4d!WR_ecx_9aac48a9
40109c!mov edx, dword ptr [ebp-0xc]!RM_12ff48_4_2c516698!RR_ebp_12ff54!WR_edx_2c516698
40109f!sub edx, ecx!RR_ecx_9aac48a9_edx_2c516698!WR_edx_91a51def
4010a1!mov dword ptr [ebp-0xc], edx!RR_edx_91a51def_ebp_12ff54!WM_12ff48_4_91a51def
4010a4!mov eax, dword ptr [ebp-0xc]!RM_12ff48_4_91a51def!RR_ebp_12ff54!WR_eax_91a51def
4010a7!shl eax, 0x4!RR_eax_91a51def!WR_eax_1a51def0
4010aa!add eax, dword ptr [ebp-0x8]!RM_12ff4c_4_deadbee1!RR_eax_1a51def0_ebp_12ff54!WR_eax_f8ff9dd1
4010ad!mov ecx, dword ptr [ebp-0xc]!RM_12ff48_4_91a51def!RR_ebp_12ff54!WR_ecx_91a51def
4010b0!add ecx, dword ptr [ebp-0x10]!RM_12ff44_4_8a8043ae!RR_ecx_91a51def_ebp_12ff54!WR_ecx_1c25619d
4010b3!xor eax, ecx!RR_eax_f8ff9dd1_ecx_1c25619d!WR_eax_e4dafc4c
4010b5!mov edx, dword ptr [ebp-0xc]!RM_12ff48_4_91a51def!RR_ebp_12ff54!WR_edx_91a51def
4010b8!shr edx, 0x5!RR_edx_91a51def!WR_edx_48d28ef
4010bb!add edx, dword ptr [ebp-0x20]!RM_12ff34_4_deadbee2!RR_edx_48d28ef_ebp_12ff54!WR_edx_e33ae7d1
4010be!xor eax, edx!RR_eax_e4dafc4c_edx_e33ae7d1!WR_eax_7e01b9d
